codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,58,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,71,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,89,110
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,118,125
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,160,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,178,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,187,206
compton-drew-data-HotPotato,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,260,284
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,315,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,332,343
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/-1/-1/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,357,368
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,379,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/4/2/-1/3/-1/,C/I/U/U/U/U/,396,409
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/-1/3/-1/,1/4/2/5/3/6/,C/I/U/U/U/U/,425,445
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,492,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,508,521
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,551,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,562,568
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,588,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/4/2/5/3/6/,1/3/2/5/4/6/,C/I/U/U/U/U/,608,615
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/3/2/5/4/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,667,680
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/3/2/4/5/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,696,714
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/3/2/4/5/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,716,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/3/2/4/5/6/,1/6/2/5/3/4/,C/I/U/U/U/U/,727,738
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/6/2/5/3/4/,1/6/2/5/3/4/,C/I/U/U/U/U/,784,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/6/2/5/3/4/,1/6/2/4/3/5/,C/I/U/U/U/U/,794,811
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/6/2/4/3/5/,1/4/2/5/3/6/,C/I/U/U/U/U/,836,849
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,875,888
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/6/,1/4/2/5/3/6/,C/I/U/U/U/U/,933,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/4/2/5/3/6/,1/4/2/5/3/-1/,C/I/U/U/U/U/,947,962
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/-1/,1/4/2/5/3/-1/,C/I/U/U/U/U/,973,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/4/2/5/3/-1/,1/4/2/5/3/-1/,C/I/U/U/U/U/,981,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/4/2/5/3/-1/,1/4/2/5/3/-1/,C/I/U/U/U/U/,990,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/-1/,1/4/2/5/3/-1/,C/I/U/U/U/U/,992,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/4/2/5/3/-1/,1/-1/2/4/3/-1/,C/I/U/U/U/U/,992,1012
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/4/3/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,1027,1037
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,1047,1061
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/-1/2/-1/3/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,1063,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/3/2/-1/4/-1/,C/I/U/U/U/U/,1073,1091
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/3/2/-1/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1128,1143
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/3/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1170,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/3/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1187,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/-1/2/3/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1203,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/-1/2/3/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1223,-1
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/-1/2/3/4/-1/,1/-1/2/3/4/-1/,C/I/U/U/U/U/,1233,-1
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/-1/2/3/4/-1/,1/2/3/5/4/6/,C/I/U/U/U/U/,1247,1261
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,1290,1306
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/2/3/5/4/6/,1/3/2/5/4/6/,C/C/C/I/U/U/,1318,1329
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/3/2/5/4/6/,1/2/3/5/4/6/,C/I/U/U/U/U/,1384,1391
compton-drew-data-HotPotato,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,1408,1420
compton-drew-data-HotPotato,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,1426,-1
